1,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2185.jpg,0,[0, 8],[1.0000, 0.0000]
2,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6015.jpg,0,[0, 8],[0.9963, 0.0037]
3,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_8064.jpg,0,[0, 8],[0.9859, 0.0116]
4,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_315.jpg,0,[0, 4],[1.0000, 0.0000]
5,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_3672.jpg,0,[0, 2],[1.0000, 0.0000]
6,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6653.jpg,0,[2, 0],[0.9994, 0.0003]
7,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7683.jpg,0,[0, 6],[1.0000, 0.0000]
8,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4792.jpg,0,[4, 0],[1.0000, 0.0000]
9,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_1579.jpg,0,[0, 6],[0.9442, 0.0403]
10,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7843.jpg,0,[4, 0],[0.8946, 0.1051]
11,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6644.jpg,0,[0, 2],[1.0000, 0.0000]
12,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_3112.jpg,0,[0, 8],[1.0000, 0.0000]
13,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9539.jpg,0,[0, 8],[1.0000, 0.0000]
14,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7010.jpg,0,[0, 3],[1.0000, 0.0000]
15,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4167.jpg,0,[0, 6],[1.0000, 0.0000]
16,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_5679.jpg,0,[0, 4],[0.9998, 0.0001]
17,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6481.jpg,0,[0, 8],[0.9109, 0.0564]
18,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6361.jpg,0,[0, 2],[0.9734, 0.0226]
19,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9826.jpg,0,[0, 2],[0.9486, 0.0514]
20,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7850.jpg,0,[0, 8],[1.0000, 0.0000]
21,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9181.jpg,0,[0, 2],[1.0000, 0.0000]
22,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9872.jpg,0,[8, 0],[0.9467, 0.0532]
23,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_3191.jpg,0,[0, 8],[0.9995, 0.0004]
24,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_8485.jpg,0,[0, 2],[1.0000, 0.0000]
25,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2964.jpg,0,[0, 8],[1.0000, 0.0000]
26,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4194.jpg,0,[0, 2],[0.9964, 0.0036]
